"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
211,26,"TIGUAN","2019-01-28 02:53:39.984342","2019-01-28 02:53:39.984342",6,5,4
212,26,"GOLF","2019-01-28 02:53:40.062724","2019-01-28 02:53:40.062724",4,5,4
213,26,"PASSAT","2019-01-28 02:53:40.086955","2019-01-28 02:53:40.086955",1,5,4
221,28,"GHOST","2019-01-28 02:53:40.309129","2019-01-28 02:53:40.309129",1,5,4
222,29,"GIULA","2019-01-28 02:53:40.338405","2019-01-28 02:53:40.338405",1,5,4
223,6,"R8","2019-01-28 02:53:40.362293","2019-01-28 02:53:40.362293",3,2,2
225,9,"740","2019-01-28 02:53:40.409848","2019-01-28 02:53:40.409848",1,4,4
226,18,"458","2019-01-28 02:53:40.438198","2019-01-28 02:53:40.438198",3,2,2
227,20,"GALLARDO","2019-01-28 02:53:40.467247","2019-01-28 02:53:40.467247",3,2,2
228,30,"570","2019-01-28 02:53:40.497506","2019-01-28 02:53:40.497506",3,2,2
93,9,"118i","2019-01-28 02:53:36.845165","2019-01-28 02:53:36.845165",4,4,4
112,11,"MONDEO","2019-01-28 02:53:37.361275","2019-01-28 02:53:37.361275",1,5,4
89,9,"M4","2019-01-28 02:53:36.742837","2019-01-28 02:53:36.742837",3,4,2
88,9,"i8","2019-01-28 02:53:36.718774","2019-01-28 02:53:36.718774",3,4,2
193,23,"LC","2019-01-28 02:53:39.534676","2019-01-28 02:53:39.534676",3,4,2
15,3,"VIOS ","2019-01-16 12:49:26.192928","2019-01-16 12:49:26.192928",1,5,4
42,7,"RIO ","2019-01-16 12:49:26.878275","2019-01-16 12:49:26.878275",1,5,4
69,3,"ALTIS","2019-01-28 02:53:35.836692","2019-01-28 02:53:35.836692",1,5,4
134,13,"CLS250d","2019-01-28 02:53:37.930938","2019-01-28 02:53:37.930938",3,4,4
165,19,"XF","2019-01-28 02:53:38.83609","2019-01-28 02:53:38.83609",1,5,4
180,21,"COUNTRYMAN","2019-01-28 02:53:39.20629","2019-01-28 02:53:39.20629",4,5,4
181,22,"RANGE ROVER","2019-01-28 02:53:39.235848","2019-01-28 02:53:39.235848",6,5,4
182,22,"RANGE ROVER VELAR","2019-01-28 02:53:39.260398","2019-01-28 02:53:39.260398",6,5,4
183,22,"RANGE ROVER SPORT","2019-01-28 02:53:39.286348","2019-01-28 02:53:39.286348",6,5,4
184,22,"DISCOVERY","2019-01-28 02:53:39.309616","2019-01-28 02:53:39.309616",6,5,4
185,22,"DISCOVERY SPORT","2019-01-28 02:53:39.333584","2019-01-28 02:53:39.333584",6,5,4
